order_date,product,category,region,channel,customer,quantity,unit_price,revenue,cost
2023-04-17,Webcam HD,Electronics,Europe,Partner,Cust_0018,3,79,225.33,158.79
2022-09-30,Mechanical Keyboard,Electronics,South America,Retail,Cust_0010,5,129,684.94,419.25
2022-09-13,Standing Desk,Furniture,Middle East,Partner,Cust_0030,14,429,5854.24,4924.92
2023-02-06,Power Bank,Accessories,Middle East,Wholesale,Cust_0002,14,49,759.42,384.16
2023-08-03,Webcam HD,Electronics,Asia Pacific,Partner,Cust_0025,1,79,87.38,52.93
2023-09-12,Noise-cancelling Mic,Electronics,South America,Retail,Cust_0015,24,149,3332.41,2789.28
2023-11-19,Wireless Headphones,Electronics,South America,Partner,Cust_0011,13,89,1275.19,671.06
2022-11-17,Monitor 27in,Electronics,South America,Online,Cust_0038,18,299,5485.97,3229.2
2022-08-06,Laptop Stand,Accessories,Europe,Wholesale,Cust_0030,21,39,740.8,343.98
2023-04-02,Standing Desk,Furniture,South America,Retail,Cust_0021,11,429,4488.95,3869.58
2023-08-02,Desk Lamp,Home,Asia Pacific,Wholesale,Cust_0006,25,45,1114.98,562.5
2022-09-01,Ergonomic Chair,Furniture,North America,Online,Cust_0002,8,249,2260.69,1494.0
2023-01-30,Power Bank,Accessories,Europe,Retail,Cust_0009,1,49,48.61,27.44
2022-11-04,Monitor 27in,Electronics,Asia Pacific,Wholesale,Cust_0024,7,299,1884.4,1255.8
2022-11-04,Smart Speaker,Electronics,North America,Partner,Cust_0038,6,119,612.4,442.68
2023-05-25,Monitor 27in,Electronics,South America,Wholesale,Cust_0013,22,299,5741.27,3946.8
2023-03-15,Laptop Stand,Accessories,Middle East,Partner,Cust_0008,23,39,976.71,376.74
2022-08-21,Ergonomic Chair,Furniture,Asia Pacific,Wholesale,Cust_0005,18,249,4490.01,3361.5
2023-06-24,Wireless Headphones,Electronics,North America,Wholesale,Cust_0028,14,89,1418.24,722.68
2023-10-23,Desk Mat,Accessories,Europe,Wholesale,Cust_0034,5,29,165.25,75.4
2023-04-12,Monitor 27in,Electronics,South America,Wholesale,Cust_0028,18,299,5907.93,3229.2
2023-04-10,Ergonomic Chair,Furniture,Asia Pacific,Online,Cust_0029,8,249,1838.93,1494.0
2023-10-28,Monitor 27in,Electronics,Asia Pacific,Wholesale,Cust_0002,20,299,5969.79,3588.0
2023-06-07,Mechanical Keyboard,Electronics,Asia Pacific,Retail,Cust_0017,16,129,1965.14,1341.6
2023-04-18,Noise-cancelling Mic,Electronics,North America,Retail,Cust_0016,1,149,158.84,116.22
2023-11-22,Noise-cancelling Mic,Electronics,South America,Retail,Cust_0032,25,149,3667.09,2905.5
2022-07-27,Laptop Stand,Accessories,South America,Retail,Cust_0016,10,39,367.33,163.8
2023-07-22,Webcam HD,Electronics,South America,Partner,Cust_0036,18,79,1349.82,952.74
2023-10-17,Desk Lamp,Home,Europe,Partner,Cust_0008,10,45,479.87,225.0
2023-05-29,Laptop Stand,Accessories,Europe,Retail,Cust_0014,24,39,1003.0,393.12
2023-04-19,Desk Mat,Accessories,North America,Partner,Cust_0013,19,29,517.32,286.52
2023-07-14,Mechanical Keyboard,Electronics,Middle East,Online,Cust_0009,10,129,1202.66,838.5
2022-09-03,Noise-cancelling Mic,Electronics,South America,Retail,Cust_0007,10,149,1656.61,1162.2
2023-04-27,Webcam HD,Electronics,Asia Pacific,Wholesale,Cust_0012,16,79,1440.52,846.88
2023-03-25,Power Bank,Accessories,North America,Online,Cust_0026,16,49,782.06,439.04
2022-09-02,Mechanical Keyboard,Electronics,North America,Partner,Cust_0016,5,129,571.17,419.25
2023-09-09,Monitor 27in,Electronics,Middle East,Retail,Cust_0025,20,299,5891.22,3588.0
2023-10-06,Desk Lamp,Home,Asia Pacific,Wholesale,Cust_0037,19,45,886.04,427.5
2022-10-19,Smart Speaker,Electronics,Asia Pacific,Retail,Cust_0006,7,119,747.3,516.46
2023-01-03,Noise-cancelling Mic,Electronics,North America,Retail,Cust_0027,3,149,440.36,348.66
2023-11-03,Desk Lamp,Home,Asia Pacific,Retail,Cust_0019,2,45,95.48,45.0
2023-10-17,Laptop Stand,Accessories,Asia Pacific,Retail,Cust_0038,22,39,899.49,360.36
2023-01-28,Standing Desk,Furniture,Europe,Retail,Cust_0018,4,429,1884.15,1407.12
2022-09-21,Wireless Headphones,Electronics,Middle East,Partner,Cust_0037,6,89,601.48,309.72
2023-10-02,Laptop Stand,Accessories,South America,Partner,Cust_0018,15,39,585.08,245.7
2023-11-27,Webcam HD,Electronics,South America,Online,Cust_0021,3,79,244.37,158.79
2022-08-05,Laptop Stand,Accessories,Asia Pacific,Online,Cust_0037,8,39,268.97,131.04
2023-01-05,Webcam HD,Electronics,Asia Pacific,Wholesale,Cust_0012,17,79,1543.22,899.81
2023-09-29,Cable Organizer,Accessories,South America,Online,Cust_0023,16,15,233.4,84.0
2023-06-03,Cable Organizer,Accessories,Asia Pacific,Retail,Cust_0027,4,15,63.49,21.0
2023-05-01,Cable Organizer,Accessories,South America,Online,Cust_0006,13,15,184.15,68.25
2023-06-06,Laptop Stand,Accessories,Middle East,Wholesale,Cust_0001,25,39,1021.12,409.5
2023-10-26,Standing Desk,Furniture,Middle East,Retail,Cust_0024,2,429,889.57,703.56
2023-12-02,Cable Organizer,Accessories,Europe,Online,Cust_0018,15,15,228.32,78.75
2023-04-30,Webcam HD,Electronics,North America,Wholesale,Cust_0002,23,79,2074.91,1217.39
2023-03-12,Desk Mat,Accessories,Middle East,Partner,Cust_0001,6,29,176.73,90.48
2022-10-13,USB-C Dock,Electronics,North America,Wholesale,Cust_0010,4,99,395.81,277.2
2023-05-04,Noise-cancelling Mic,Electronics,South America,Partner,Cust_0031,23,149,3920.74,2673.06
2023-03-16,Webcam HD,Electronics,South America,Retail,Cust_0013,18,79,1601.97,952.74
2023-12-12,Desk Mat,Accessories,Asia Pacific,Online,Cust_0027,5,29,138.03,75.4
2023-12-11,Desk Lamp,Home,Asia Pacific,Partner,Cust_0038,1,45,46.08,22.5
2023-11-23,Power Bank,Accessories,Middle East,Wholesale,Cust_0031,5,49,233.62,137.2
2023-07-31,Webcam HD,Electronics,Europe,Retail,Cust_0037,11,79,838.49,582.23
2023-09-03,Wireless Headphones,Electronics,South America,Wholesale,Cust_0025,11,89,1122.45,567.82
2022-12-12,Webcam HD,Electronics,Middle East,Retail,Cust_0038,2,79,150.04,105.86
2022-10-20,Power Bank,Accessories,Middle East,Online,Cust_0030,15,49,628.13,411.6
2022-12-04,Standing Desk,Furniture,North America,Retail,Cust_0031,21,429,9769.88,7387.38
2023-04-07,Ergonomic Chair,Furniture,North America,Wholesale,Cust_0022,20,249,5506.4,3735.0
2023-08-03,Ergonomic Chair,Furniture,Middle East,Wholesale,Cust_0003,21,249,5413.26,3921.75
2023-03-07,Cable Organizer,Accessories,Europe,Partner,Cust_0006,22,15,323.46,115.5
2022-10-18,Smart Speaker,Electronics,South America,Online,Cust_0011,21,119,2644.44,1549.38
2022-08-08,Wireless Headphones,Electronics,Asia Pacific,Online,Cust_0023,11,89,942.24,567.82
2022-12-06,USB-C Dock,Electronics,Middle East,Wholesale,Cust_0012,17,99,1516.37,1178.1
2022-09-28,Monitor 27in,Electronics,South America,Retail,Cust_0038,13,299,3470.84,2332.2
2023-10-25,Cable Organizer,Accessories,Asia Pacific,Wholesale,Cust_0001,9,15,151.16,47.25
2023-10-29,Fitness Tracker,Electronics,North America,Retail,Cust_0029,10,139,1575.66,986.9
2023-05-12,Cable Organizer,Accessories,South America,Partner,Cust_0020,14,15,191.05,73.5
2023-08-07,Power Bank,Accessories,Europe,Online,Cust_0025,16,49,800.92,439.04
2023-05-08,Desk Mat,Accessories,South America,Online,Cust_0018,10,29,247.2,150.8
2022-08-29,Fitness Tracker,Electronics,Asia Pacific,Wholesale,Cust_0015,20,139,2869.29,1973.8
2023-07-05,USB-C Dock,Electronics,Middle East,Retail,Cust_0017,21,99,2189.87,1455.3
2022-11-27,Cable Organizer,Accessories,Asia Pacific,Online,Cust_0029,4,15,51.6,21.0
2023-07-18,Desk Mat,Accessories,Asia Pacific,Online,Cust_0021,5,29,155.77,75.4
2023-01-05,USB-C Dock,Electronics,Middle East,Partner,Cust_0033,5,99,556.4,346.5
2022-12-25,Desk Lamp,Home,Asia Pacific,Partner,Cust_0008,16,45,713.16,360.0
2022-09-25,Mechanical Keyboard,Electronics,South America,Retail,Cust_0036,25,129,3095.14,2096.25
2023-08-18,Wireless Headphones,Electronics,South America,Online,Cust_0024,9,89,842.53,464.58
2023-04-04,Monitor 27in,Electronics,North America,Partner,Cust_0015,13,299,3853.74,2332.2
2023-06-10,Fitness Tracker,Electronics,North America,Retail,Cust_0030,20,139,3121.43,1973.8
2023-05-15,Cable Organizer,Accessories,Europe,Online,Cust_0003,14,15,238.11,73.5
2023-05-17,Webcam HD,Electronics,Europe,Online,Cust_0035,4,79,281.46,211.72
2023-10-17,Ergonomic Chair,Furniture,Middle East,Wholesale,Cust_0010,22,249,6111.39,4108.5
2022-10-19,Power Bank,Accessories,Asia Pacific,Wholesale,Cust_0003,16,49,828.75,439.04
2023-02-17,Webcam HD,Electronics,Asia Pacific,Retail,Cust_0007,15,79,1355.97,793.95
2023-07-21,Noise-cancelling Mic,Electronics,North America,Partner,Cust_0026,21,149,2918.62,2440.62
2022-11-12,Power Bank,Accessories,Europe,Online,Cust_0039,15,49,838.88,411.6
2022-08-30,Smart Speaker,Electronics,Europe,Retail,Cust_0037,11,119,1193.23,811.58
2023-02-07,Monitor 27in,Electronics,Asia Pacific,Retail,Cust_0010,7,299,2274.24,1255.8
2022-07-12,Desk Lamp,Home,Middle East,Retail,Cust_0017,5,45,245.15,112.5
2022-10-30,Cable Organizer,Accessories,North America,Retail,Cust_0023,1,15,16.3,5.25
2023-03-10,Monitor 27in,Electronics,Europe,Online,Cust_0017,11,299,2847.35,1973.4
2023-09-14,Noise-cancelling Mic,Electronics,South America,Online,Cust_0029,4,149,645.71,464.88
2023-12-17,Monitor 27in,Electronics,Middle East,Wholesale,Cust_0015,4,299,1355.82,717.6
2022-08-23,Desk Mat,Accessories,South America,Partner,Cust_0002,22,29,553.94,331.76
2023-11-12,Power Bank,Accessories,North America,Wholesale,Cust_0032,13,49,677.59,356.72
2023-10-07,Laptop Stand,Accessories,Middle East,Partner,Cust_0010,3,39,101.76,49.14
2023-04-17,Monitor 27in,Electronics,South America,Partner,Cust_0039,21,299,6336.56,3767.4
2023-10-17,Noise-cancelling Mic,Electronics,North America,Wholesale,Cust_0008,20,149,3295.4,2324.4
2023-02-15,Standing Desk,Furniture,South America,Retail,Cust_0022,15,429,7067.08,5276.7
2023-08-22,Standing Desk,Furniture,Asia Pacific,Online,Cust_0028,24,429,9716.92,8442.72
2023-03-28,Ergonomic Chair,Furniture,North America,Wholesale,Cust_0006,5,249,1368.92,933.75
2022-10-13,Standing Desk,Furniture,Europe,Partner,Cust_0036,4,429,1489.48,1407.12
2023-06-12,Cable Organizer,Accessories,Asia Pacific,Wholesale,Cust_0028,4,15,66.63,21.0
2022-08-31,Desk Lamp,Home,Asia Pacific,Partner,Cust_0007,20,45,921.04,450.0
2023-02-12,Mechanical Keyboard,Electronics,Europe,Wholesale,Cust_0007,22,129,2710.39,1844.7
2023-07-21,Laptop Stand,Accessories,Middle East,Partner,Cust_0015,25,39,1064.86,409.5
2022-08-05,Monitor 27in,Electronics,North America,Partner,Cust_0012,22,299,6130.57,3946.8
2023-05-22,Fitness Tracker,Electronics,North America,Partner,Cust_0012,11,139,1698.66,1085.59
2023-08-24,Laptop Stand,Accessories,North America,Online,Cust_0034,5,39,178.34,81.9
2023-09-12,Webcam HD,Electronics,Asia Pacific,Retail,Cust_0020,11,79,926.77,582.23
2022-10-04,Fitness Tracker,Electronics,Europe,Retail,Cust_0040,2,139,240.45,197.38
2022-10-01,Desk Lamp,Home,South America,Wholesale,Cust_0039,15,45,663.26,337.5
2023-04-15,USB-C Dock,Electronics,Asia Pacific,Online,Cust_0028,25,99,2186.09,1732.5
2023-11-20,Noise-cancelling Mic,Electronics,North America,Partner,Cust_0015,22,149,3175.0,2556.84
2022-09-04,Wireless Headphones,Electronics,Europe,Partner,Cust_0009,7,89,672.37,361.34
2023-05-02,Ergonomic Chair,Furniture,South America,Online,Cust_0028,4,249,899.1,747.0
2023-08-03,Noise-cancelling Mic,Electronics,Middle East,Retail,Cust_0036,23,149,3769.72,2673.06
2023-07-07,Laptop Stand,Accessories,South America,Online,Cust_0002,13,39,500.88,212.94
2022-09-27,Power Bank,Accessories,Middle East,Wholesale,Cust_0026,11,49,572.88,301.84
2023-09-10,Desk Lamp,Home,North America,Wholesale,Cust_0021,4,45,162.28,90.0
2023-10-24,Power Bank,Accessories,North America,Partner,Cust_0028,23,49,1243.47,631.12
2023-03-16,Standing Desk,Furniture,Middle East,Wholesale,Cust_0006,19,429,7896.12,6683.82
2023-05-23,Desk Mat,Accessories,Asia Pacific,Retail,Cust_0011,11,29,278.46,165.88
2022-11-03,Noise-cancelling Mic,Electronics,Asia Pacific,Retail,Cust_0023,17,149,2705.79,1975.74
2022-12-08,USB-C Dock,Electronics,Asia Pacific,Retail,Cust_0013,4,99,357.21,277.2
2022-12-13,Smart Speaker,Electronics,Europe,Online,Cust_0032,25,119,2942.83,1844.5
2023-10-12,Cable Organizer,Accessories,Asia Pacific,Partner,Cust_0010,19,15,279.85,99.75
2023-11-02,Webcam HD,Electronics,Asia Pacific,Partner,Cust_0038,21,79,1438.11,1111.53
2023-12-11,Laptop Stand,Accessories,South America,Wholesale,Cust_0003,10,39,338.16,163.8
2023-04-29,Laptop Stand,Accessories,Middle East,Online,Cust_0039,21,39,820.74,343.98
2023-10-26,Monitor 27in,Electronics,South America,Online,Cust_0037,18,299,5627.16,3229.2
2023-06-04,Monitor 27in,Electronics,North America,Retail,Cust_0029,16,299,4214.95,2870.4
2023-06-26,Desk Mat,Accessories,North America,Retail,Cust_0016,3,29,92.42,45.24
2023-10-02,Noise-cancelling Mic,Electronics,Asia Pacific,Retail,Cust_0024,17,149,2850.59,1975.74
2023-08-10,Standing Desk,Furniture,Middle East,Partner,Cust_0004,25,429,11655.59,8794.5
2023-06-17,Laptop Stand,Accessories,Middle East,Online,Cust_0025,11,39,401.22,180.18
2022-12-10,Ergonomic Chair,Furniture,Asia Pacific,Retail,Cust_0020,3,249,851.81,560.25
2023-08-15,Mechanical Keyboard,Electronics,Asia Pacific,Online,Cust_0036,20,129,2484.55,1677.0
2023-06-11,Power Bank,Accessories,South America,Online,Cust_0033,5,49,234.84,137.2
2023-07-16,Desk Lamp,Home,Asia Pacific,Retail,Cust_0032,6,45,245.05,135.0
2022-11-27,Mechanical Keyboard,Electronics,North America,Partner,Cust_0033,3,129,418.45,251.55
2023-12-31,Wireless Headphones,Electronics,Middle East,Partner,Cust_0009,22,89,2015.12,1135.64
2022-12-14,Mechanical Keyboard,Electronics,South America,Retail,Cust_0003,6,129,753.3,503.1
2023-03-10,Webcam HD,Electronics,South America,Partner,Cust_0015,20,79,1596.12,1058.6
2023-05-22,Smart Speaker,Electronics,Asia Pacific,Retail,Cust_0037,16,119,2180.71,1180.48
2023-10-25,Smart Speaker,Electronics,Middle East,Wholesale,Cust_0034,10,119,1160.96,737.8
2022-12-22,Power Bank,Accessories,Asia Pacific,Retail,Cust_0004,7,49,357.53,192.08
2023-07-25,Noise-cancelling Mic,Electronics,Asia Pacific,Online,Cust_0006,4,149,643.05,464.88
2023-04-15,Webcam HD,Electronics,South America,Retail,Cust_0006,17,79,1522.86,899.81
2023-02-22,Power Bank,Accessories,North America,Partner,Cust_0027,15,49,636.49,411.6
2023-12-06,Ergonomic Chair,Furniture,North America,Wholesale,Cust_0024,8,249,1827.38,1494.0
2023-06-01,Fitness Tracker,Electronics,Europe,Partner,Cust_0009,4,139,478.99,394.76
2023-11-05,Desk Mat,Accessories,South America,Wholesale,Cust_0040,5,29,123.48,75.4
2022-09-29,Wireless Headphones,Electronics,Europe,Retail,Cust_0036,9,89,906.79,464.58
2024-01-01,Standing Desk,Furniture,Europe,Partner,Cust_0020,4,429,1521.33,1407.12
2023-03-11,Standing Desk,Furniture,North America,Wholesale,Cust_0008,21,429,9918.97,7387.38
2023-12-03,Monitor 27in,Electronics,Middle East,Online,Cust_0037,18,299,4965.33,3229.2
2022-12-04,Desk Lamp,Home,Middle East,Online,Cust_0023,14,45,580.97,315.0
2023-09-09,Mechanical Keyboard,Electronics,Middle East,Online,Cust_0024,22,129,2469.92,1844.7
2023-12-30,Noise-cancelling Mic,Electronics,South America,Online,Cust_0031,17,149,2186.13,1975.74
2023-08-10,Ergonomic Chair,Furniture,Asia Pacific,Online,Cust_0005,9,249,2136.66,1680.75
2022-10-24,Smart Speaker,Electronics,Europe,Partner,Cust_0003,19,119,2160.81,1401.82
2023-06-21,Power Bank,Accessories,South America,Retail,Cust_0031,21,49,1069.67,576.24
2022-11-25,Laptop Stand,Accessories,North America,Wholesale,Cust_0019,23,39,816.7,376.74
2023-01-30,Fitness Tracker,Electronics,Asia Pacific,Partner,Cust_0033,2,139,269.51,197.38
2023-11-06,Desk Lamp,Home,Asia Pacific,Retail,Cust_0023,2,45,99.78,45.0
2022-08-27,Power Bank,Accessories,Asia Pacific,Partner,Cust_0008,21,49,1121.41,576.24
2023-09-30,Fitness Tracker,Electronics,South America,Wholesale,Cust_0022,13,139,2063.81,1282.97
2023-11-30,Desk Mat,Accessories,Middle East,Partner,Cust_0018,16,29,505.92,241.28
2023-09-17,Laptop Stand,Accessories,Middle East,Retail,Cust_0019,14,39,516.71,229.32
2022-09-29,Ergonomic Chair,Furniture,Asia Pacific,Partner,Cust_0029,22,249,5646.65,4108.5
2023-09-19,Mechanical Keyboard,Electronics,Asia Pacific,Wholesale,Cust_0029,23,129,2559.65,1928.55
2023-07-06,Monitor 27in,Electronics,North America,Partner,Cust_0005,14,299,4400.97,2511.6
2023-08-29,Ergonomic Chair,Furniture,North America,Retail,Cust_0010,17,249,4675.78,3174.75
2023-10-01,Wireless Headphones,Electronics,Europe,Online,Cust_0024,5,89,426.6,258.1
2022-08-12,Monitor 27in,Electronics,Asia Pacific,Wholesale,Cust_0024,5,299,1469.86,897.0
2022-09-26,Monitor 27in,Electronics,South America,Partner,Cust_0021,5,299,1562.08,897.0
2023-03-22,Laptop Stand,Accessories,South America,Retail,Cust_0034,1,39,37.68,16.38
2022-11-07,Desk Lamp,Home,South America,Partner,Cust_0014,25,45,1292.52,562.5
2023-04-28,Desk Mat,Accessories,North America,Retail,Cust_0009,16,29,513.11,241.28
2023-10-15,Mechanical Keyboard,Electronics,North America,Wholesale,Cust_0021,23,129,3116.39,1928.55
2022-09-14,Noise-cancelling Mic,Electronics,Asia Pacific,Partner,Cust_0011,18,149,2852.42,2091.96
2023-01-04,Smart Speaker,Electronics,North America,Retail,Cust_0013,12,119,1553.12,885.36
2023-03-09,Smart Speaker,Electronics,Asia Pacific,Online,Cust_0036,16,119,1945.28,1180.48
2023-10-31,Smart Speaker,Electronics,Middle East,Retail,Cust_0006,18,119,1862.95,1328.04
2023-08-21,Desk Mat,Accessories,Middle East,Wholesale,Cust_0027,24,29,752.2,361.92
2022-09-23,Mechanical Keyboard,Electronics,South America,Online,Cust_0030,11,129,1495.67,922.35
2023-06-27,Mechanical Keyboard,Electronics,Europe,Retail,Cust_0028,25,129,3227.77,2096.25
2022-09-04,Power Bank,Accessories,Asia Pacific,Retail,Cust_0011,4,49,176.12,109.76
2023-02-25,Ergonomic Chair,Furniture,North America,Partner,Cust_0017,17,249,3847.33,3174.75
2023-04-17,Mechanical Keyboard,Electronics,Middle East,Partner,Cust_0035,21,129,2378.58,1760.85
2022-12-29,Monitor 27in,Electronics,Europe,Retail,Cust_0040,19,299,6057.02,3408.6
2023-06-20,Power Bank,Accessories,North America,Online,Cust_0006,19,49,804.05,521.36
2023-04-07,Cable Organizer,Accessories,Middle East,Wholesale,Cust_0002,7,15,104.94,36.75
